# Time-averaged data for fix particle_msd
# TimeStep c_particle_msd[4]
153100 1048.1
153200 1042.59
153300 1039.41
153400 1040.4
153500 1048.86
153600 1053.18
153700 1056.84
153800 1057.31
153900 1059.44
154000 1057.38
154100 1055.19
154200 1057.75
154300 1055.51
154400 1059.57
154500 1058.12
154600 1060.02
154700 1060.19
154800 1062.74
154900 1067.82
155000 1071.47
155100 1072.28
155200 1071.44
155300 1067.24
155400 1067.27
155500 1068.76
155600 1068.16
155700 1068.57
155800 1066.91
155900 1067.52
156000 1065.28
156100 1060.34
156200 1059.37
156300 1062.22
156400 1064.85
156500 1067.9
156600 1067.89
156700 1066.88
156800 1072.5
156900 1073.96
157000 1076.91
157100 1074.1
157200 1074.37
157300 1079.54
157400 1081.38
157500 1083.1
157600 1088.16
157700 1091.44
157800 1088.87
157900 1090.98
158000 1095.82
158100 1097.95
158200 1098.06
158300 1096.42
158400 1093.48
158500 1090.33
158600 1090.74
158700 1095.02
158800 1096.6
158900 1096.74
159000 1094.24
159100 1095.28
159200 1091.88
159300 1085.36
159400 1087.68
159500 1091.04
159600 1092.36
159700 1087.6
159800 1085.12
159900 1085.16
160000 1085.02
160100 1085.13
160200 1085.58
160300 1089.59
160400 1093.41
160500 1093.25
160600 1092.83
160700 1097.03
160800 1100.16
160900 1101.1
161000 1099.03
161100 1098.12
161200 1098.44
161300 1103.32
161400 1102.59
161500 1104.19
161600 1106.88
161700 1110.27
161800 1111.85
161900 1113.83
162000 1116.02
162100 1119.07
162200 1119.85
162300 1123.12
162400 1120.68
162500 1121.23
162600 1120.99
162700 1118.84
162800 1119.56
162900 1122.39
163000 1119.45
163100 1121.08
163200 1121.16
163300 1117.23
163400 1114.44
163500 1117.75
163600 1119.76
163700 1123.22
163800 1122.82
163900 1127.95
164000 1126.76
164100 1126.66
164200 1132.83
164300 1131.67
164400 1133.72
164500 1137.83
164600 1139.99
164700 1143.85
164800 1147.3
164900 1149.81
165000 1149.92
165100 1151.29
165200 1150.93
165300 1144.73
165400 1144.86
165500 1145.6
165600 1142.88
165700 1138.15
165800 1136.59
165900 1132.64
166000 1128.96
166100 1134.94
166200 1135.42
166300 1137.81
166400 1142.33
166500 1145.91
166600 1147.93
166700 1146.35
166800 1143.27
166900 1144.83
167000 1144.56
167100 1142.64
167200 1143.45
167300 1139.85
167400 1142.6
167500 1141.42
167600 1140.13
167700 1138.45
167800 1137.87
167900 1139.52
168000 1138.56
168100 1140.28
168200 1136.27
168300 1131.6
168400 1133.83
168500 1136.23
168600 1141.5
168700 1139.62
168800 1140.54
168900 1140.16
169000 1138.41
169100 1145.72
169200 1148.36
169300 1148.38
169400 1153.18
169500 1160.64
169600 1164.22
169700 1165.44
169800 1164.48
169900 1166.01
170000 1166.27
170100 1171.9
170200 1174.77
170300 1175.99
170400 1174.13
170500 1178.26
170600 1182.23
170700 1184.71
170800 1183.44
170900 1183.36
171000 1186.09
171100 1188.34
171200 1186.93
171300 1187.67
171400 1187.94
171500 1189.15
171600 1189.59
171700 1193.8
171800 1194.28
171900 1192.76
172000 1191.63
172100 1192.94
172200 1194.72
172300 1193.64
172400 1193.97
172500 1196.89
172600 1195.92
172700 1195.47
172800 1191.94
172900 1192.52
173000 1191.79
173100 1190.85
173200 1192.4
173300 1187.51
173400 1188.19
173500 1191.35
173600 1195.99
173700 1197.98
173800 1198.95
173900 1203.25
174000 1205.63
174100 1207.31
174200 1205.83
174300 1208.37
174400 1210.02
174500 1215.17
174600 1216.71
174700 1213.26
174800 1216.36
174900 1218.03
175000 1222.74
175100 1222.76
175200 1219.45
175300 1226.61
175400 1229.64
175500 1230.92
175600 1232.98
175700 1234.47
175800 1236.17
175900 1239.24
176000 1233.41
176100 1231.91
176200 1233.89
176300 1235.19
176400 1234.83
176500 1231.12
176600 1233.52
176700 1235.23
176800 1238.83
176900 1240.57
177000 1240.26
177100 1241.49
177200 1242.59
177300 1241.62
177400 1244.97
177500 1248.89
177600 1247.29
177700 1244.13
177800 1241.83
177900 1243.49
178000 1246.26
178100 1243.61
178200 1245.16
178300 1247.14
178400 1240.58
178500 1239.78
178600 1238.09
178700 1233.04
178800 1234.36
178900 1238.47
179000 1237.04
179100 1238.2
179200 1238.72
179300 1237.49
179400 1236.86
179500 1235.82
179600 1233.58
179700 1234.64
179800 1232.58
179900 1229.58
180000 1231.62
180100 1234.77
180200 1237.74
180300 1241.59
180400 1243.68
180500 1245
180600 1247.04
180700 1246.47
180800 1247.39
180900 1251.04
181000 1255.44
181100 1253.5
181200 1255.52
181300 1257.13
181400 1258.3
181500 1257.78
181600 1258.34
181700 1252.45
181800 1253.33
181900 1253.99
182000 1252.34
182100 1254.78
182200 1256.02
182300 1256.88
182400 1256.39
182500 1259.14
182600 1257.58
182700 1258
182800 1260.59
182900 1264.67
183000 1258.36
183100 1257.66
183200 1257.24
183300 1252.15
183400 1254.25
183500 1257.31
183600 1254.5
183700 1258.3
183800 1261.34
183900 1260.92
184000 1257.36
184100 1261.19
184200 1266.63
184300 1266.1
184400 1268.87
184500 1270.27
184600 1273.05
184700 1274.37
184800 1273.11
184900 1273.76
185000 1275.42
185100 1277.1
185200 1278.31
185300 1282.1
185400 1286.84
185500 1290.18
185600 1294.89
185700 1298.43
185800 1299.58
185900 1300.34
